GSM_ID,100152367_TGI_at,100148025_TGI_at,100147415_TGI_at,100142646_TGI_at,100131664_TGI_at,100159841_TGI_at,100122391_TGI_at,100146289_TGI_at,100160445_TGI_at,100121818_TGI_at,100149328_TGI_at,100139653_TGI_at,100122717_TGI_at,100137227_TGI_at,100141545_TGI_at,100147092_TGI_at,100142419_TGI_at,100152115_TGI_at,100155952_TGI_at,100156268_TGI_at,100158086_TGI_at,100130781_TGI_at,100149348_TGI_at,100152725_TGI_at,100134865_TGI_at,100134610_TGI_at,100146924_TGI_at,100125753_TGI_at,100152843_TGI_at,100148916_TGI_at,Type
GSM616744,25.09229,21.89836,21.33039,6.046525,15.41983,25.33116,14.7035,5.50935,23.39589,19.237920000000006,11.86962,30.72256,9.488877,22.41004,11.67928,8.621029,31.91526,26.48373,24.20948,16.96396,14.87995,22.96293,5.470856,19.58984,25.87799,9.719747,12.7767,12.89949,8.131341,13.719129999999998,2
GSM616745,13.05821,25.11633,6.539045,4.776093,12.37327,30.20157,8.49387,27.91516,20.90141,9.203568,21.28555,7.879633,1.6810770000000002,9.487601,9.087358,25.2304,22.73938,17.55818,13.825729999999998,7.7662710000000015,3.942266000000001,14.39538,6.569398,23.85112,4.664004,11.25561,22.13815,12.98875,1.320813,10.02298,2
GSM616746,23.79502,32.85468,17.050079999999998,13.57269,17.84613,25.79377,8.243580999999999,22.72405,20.56853,14.859470000000002,14.31502,24.00488,6.882411,13.80117,10.25579,11.09297,30.98197,15.5139,20.12994,23.38209,15.44023,25.02493,9.053127,14.71714,22.05149,5.461936,14.99004,18.11088,11.40608,24.09379,2
GSM616747,24.79851,26.16523,12.38386,13.178579999999998,11.65814,21.63548,7.928985000000001,11.14744,18.99473,20.69986,9.541566,32.60837,4.5331160000000015,26.2193,8.20686,6.163737,37.12425,16.54271,25.05149,24.31493,12.79057,25.85803,7.171311,9.380266,21.68988,8.222363,9.46823,10.70327,11.14496,20.19699,2
GSM616748,3.312494,26.3416,13.24947,15.94664,15.73082,25.79706,15.97566,21.94461,28.966390000000004,6.386684,14.57614,38.10279,1.548547,13.48996,10.29146,12.94117,26.99592,14.494470000000002,25.31537,15.2249,20.72708,17.99289,14.54363,13.390670000000002,21.74198,10.08887,17.92788,3.686861,2.860764,19.40303,2
GSM616749,25.33895,26.76102,4.308073,11.49951,16.97906,20.08235,4.269121,12.11954,20.14199,20.05122,9.178509,6.062136,12.03346,25.73328,9.209382000000002,6.113586,35.11741,16.27765,8.015385,20.35707,8.693932,26.14512,16.6718,7.411434,21.78199,7.327257,7.082446000000001,9.796868,14.07275,26.53658,2
GSM616750,29.095470000000002,15.617920000000002,5.865409,5.933534,6.112494,16.03094,21.19881,5.248745,37.58242,24.121920000000006,8.989713,11.64454,19.7323,33.77192,7.499352,3.687521,32.52486,9.328662,3.69189,18.9946,27.16007,18.49393,3.12601,3.686593,5.720749,12.81007,5.686804,11.61654,5.270441,24.64295,3
GSM616751,31.34899,13.41936,13.54543,4.528098,9.406709,15.00946,22.58505,2.130991,33.37519,23.72514,12.35599,0.523596,15.00461,35.46291,5.786683,7.8253309999999985,34.94728,8.008899000000001,8.043453,15.47972,9.836402,16.96218,2.037054,4.42859,4.478605,12.3246,6.680202,10.2811,11.97031,21.47339,3
GSM616752,29.1342,12.89926,9.787265,7.866621,11.17552,11.99737,16.69825,1.214895,30.95097,26.14703,5.991665,0.9773442,14.35589,32.03693,6.600969,1.850231,31.3991,9.472827,1.872113,24.38953,20.82415,24.90658,2.196425,4.970357,6.618263000000002,10.16779,2.465569,5.263493,13.66831,22.68038,3
GSM616753,29.826790000000003,23.51561,13.34771,3.949778,12.05296,18.11767,19.57466,4.007127,25.85933,21.36724,14.034670000000002,24.31147,19.68604,31.48869,5.436886,7.561716,35.54339,10.46042,9.264547,18.4031,16.98169,22.66893,5.4333290000000005,6.118578,5.066683,15.06371,7.918994,14.78057,0.8337993,23.38172,3
GSM616754,23.60926,21.12073,5.873138,1.225999,4.348008,24.37582,21.61554,5.607757,33.04155,15.66603,22.05035,10.55651,10.20105,15.703120000000002,5.413094999999998,16.99341,30.28946,11.45588,4.07983,18.96637,19.34064,13.35961,4.062556,8.98632,7.417103,8.711897,17.12286,24.21908,7.959589,16.95192,3
GSM616755,27.11562,20.07254,6.884346000000002,2.085269,7.834293,20.3233,22.84039,4.810961,35.48496,15.79354,14.26198,24.9576,19.72688,28.30387,5.486881,9.092905,33.14088,17.42016,4.705222,19.53097,23.96133,14.344829999999998,3.986185,10.49834,6.860355,18.18253,12.36631,15.84101,2.600562,23.0768,3
